Name,Pos,Off. Role,Minutes,MPG,BPM,OBPM,DBPM,Contribution,VORP
Breanna Stewart,3.8,2.6,723.0,34.4,7.7,4.0,3.7,6.6,4.38
Sabrina Ionescu,1.9,1.9,702.0,33.4,4.0,4.8,-0.8,3.3,2.63
Jonquel Jones,4.7,2.0,647.0,30.8,7.4,4.9,2.5,5.7,3.8
Betnijah Laney,2.3,3.1,594.0,33.0,-0.0,-0.3,0.3,-0.0,0.74
Kayla Thornton,2.9,4.4,398.0,19.0,0.3,0.2,0.1,0.1,0.57
Leonie Fiebich,2.8,4.2,360.0,17.1,-2.5,-2.9,0.4,-1.1,-0.11
Courtney Vandersloot,1.8,3.0,290.0,24.2,-0.4,-1.3,0.9,-0.1,0.29
Kennedy Burke,3.0,4.8,203.0,10.2,-4.2,-4.5,0.3,-1.0,-0.28
Ivana Dojkić,2.2,4.2,147.0,9.8,-6.6,-4.1,-2.5,-1.2,-0.42
Nyara Sabally,4.8,4.1,93.0,11.6,5.1,0.4,4.7,0.6,0.41
Marquesha Davis,2.5,4.2,44.0,3.7,-0.9,-2.5,1.6,-0.0,0.03
Kayla McBride,1.9,2.1,712.0,32.4,5.3,3.9,1.4,4.2,3.19
Napheesa Collier,4.3,2.6,697.0,34.8,7.1,3.3,3.8,5.5,3.9
Alanna Smith,3.8,2.7,609.0,27.7,6.9,2.0,4.9,4.7,3.33
Bridget Carleton,2.9,3.5,607.0,28.9,1.9,0.4,1.5,1.3,1.45
Courtney Williams,2.4,2.9,583.0,26.5,-0.9,-3.2,2.3,-0.6,0.39
Dorka Juhász,4.0,3.8,328.0,17.3,2.1,0.2,1.9,0.8,0.83
Natisha Hiedeman,1.7,3.7,325.0,14.8,-2.0,-4.4,2.4,-0.7,0.0
Cecilia Zandalasini,2.9,3.3,295.0,13.4,-0.0,-1.4,1.4,-0.0,0.36
Olivia Époupa,1.3,3.3,100.0,6.7,1.6,-5.6,7.2,0.2,0.22
Alissa Pili,3.7,3.8,92.0,6.1,-5.2,-6.1,0.9,-0.5,-0.18
